City,City,Country,Lat,Humidity,Temp (F),Wind Speed (mph),Percent of Clouds,Date
0,Parintins,BR,-2.63,88,78.16,3.6,68,1550752875
1,Barrow,AR,-38.31,64,74.51,14.67,12,1550752875
2,Saint-Philippe,CA,45.36,92,22.21,5.82,90,1550750400
3,Russell,AR,-33.01,47,80.6,12.75,0,1550750400
4,Rikitea,PF,-23.12,100,78.38,7.74,88,1550752876
5,Norman Wells,CA,65.28,75,-14.81,2.24,75,1550750400
6,Sakaiminato,JP,35.55,42,46.4,8.05,75,1550750400
7,Carnarvon,ZA,-30.97,26,84.5,4.16,8,1550752877
8,Bethel,US,60.79,92,23.61,11.41,1,1550750160
9,Naze,NG,5.43,59,93.2,10.29,75,1550750400
10,Nanortalik,GL,60.14,100,26.95,21.61,80,1550752878
11,Parrsboro,CA,45.41,72,17.6,3.36,90,1550750400
12,East London,ZA,-33.02,83,73.4,10.29,20,1550750400
13,Ushuaia,AR,-54.81,64,39.2,23.04,75,1550750400
14,Salalah,OM,17.01,17,86.0,10.29,0,1550749800
15,Sakaraha,MG,-22.91,90,76.67,5.73,68,1550752879
16,Saint George,GR,39.45,29,63.55,6.93,20,1550749800
17,Mar del Plata,AR,-46.43,71,48.01,10.31,20,1550752751
18,Pevek,RU,69.7,69,-15.67,2.82,48,1550752879
19,Jamestown,AU,-33.21,69,60.65,9.31,0,1550752880
20,Busselton,AU,-33.64,100,68.35,14.23,0,1550752884
21,Tasiilaq,GL,65.61,86,33.8,38.03,92,1550749800
22,Duvan,RU,55.69,74,25.15,11.54,88,1550752884
23,Sisimiut,GL,66.94,68,-2.67,1.14,80,1550752884
24,Hilo,US,19.71,68,71.6,3.36,1,1550749980
25,Hermanus,ZA,-34.42,48,79.15,8.19,36,1550752885
26,Hit,IQ,33.64,76,62.86,4.72,36,1550752885
27,Kaitangata,NZ,-46.28,81,52.55,5.17,0,1550752885
28,Chernyshevskiy,RU,63.01,75,4.67,3.71,32,1550752886
29,Kodiak,US,39.95,72,13.33,2.82,1,1550751300
30,Arraial do Cabo,BR,-22.97,83,83.32,4.7,40,1550750400
31,Punta Arenas,CL,-53.16,65,41.0,12.75,40,1550750400
32,Ayan,TR,40.67,59,43.46,3.38,12,1550752887
33,Luena,AO,-11.78,65,80.6,9.17,75,1550750400
34,Nurota,UZ,40.56,41,41.0,9.17,0,1550750400
35,Kapaa,US,22.08,88,65.37,6.93,1,1550750160
36,The Valley,AI,18.22,65,77.0,19.46,40,1550750400
37,Butaritari,KI,3.07,100,77.75,3.15,88,1550752889
38,Kyenjojo,UG,0.61,43,82.75,5.61,100,1550752889
39,Tezu,IN,27.93,79,54.04,0.81,0,1550752889
40,Port Alfred,ZA,-33.59,92,70.46,7.74,92,1550752889
41,Atuona,PF,-9.8,100,81.35,12.33,76,1550752890
42,Albany,US,42.65,89,29.84,6.93,90,1550751540
43,Puerto Palomas,US,31.78,35,24.8,3.15,1,1550749980
44,Bluff,AU,-23.58,34,85.99,8.08,20,1550752891
45,Cayenne,GF,4.94,69,82.4,11.41,92,1550750400
46,Sabzevar,IR,36.21,52,42.2,2.15,0,1550752891
47,New Norfolk,AU,-42.78,58,59.0,10.29,40,1550750400
48,Tanout,NE,14.97,19,89.18,6.29,68,1550752892
49,Ribeira Grande,PT,38.52,71,55.4,23.04,40,1550750400
50,Oranjemund,ZA,-28.55,89,64.97,24.29,0,1550752892
51,Lasa,CY,34.92,55,63.37,6.93,20,1550750400
52,Baruun-Urt,MN,46.68,63,13.09,3.71,0,1550752893
53,Shebunino,RU,57.66,86,30.2,11.18,90,1550750400
54,Skjervoy,NO,70.03,61,22.12,14.99,0,1550749800
55,San Quintin,PH,17.54,84,68.35,2.26,0,1550752894
56,Mataura,NZ,-46.19,71,58.36,9.64,44,1550752894
57,Abu Samrah,SY,35.3,97,54.26,4.5,68,1550752894
58,Szany,HU,47.46,53,51.8,9.17,75,1550749500
59,Severobaykalsk,RU,55.65,88,9.04,1.59,44,1550752895
60,Boa Vista,BR,2.82,65,80.6,17.22,40,1550750400
61,Guerrero Negro,MX,27.97,90,55.52,10.65,92,1550752896
62,Palimbang,PH,14.9,57,78.78,4.7,75,1550750400
63,Leningradskiy,RU,69.38,78,-4.11,9.08,64,1550752896
64,College,US,64.86,84,2.46,4.16,40,1550750280
65,Bismarck,US,46.81,91,1.4,8.05,90,1550751300
66,Nikolskoye,RU,59.7,57,23.0,15.66,20,1550750400
67,Georgetown,GY,6.8,78,79.65,16.11,40,1550750400
68,Port Lincoln,AU,-34.72,98,63.04,10.98,0,1550752904
69,Lompoc,US,34.64,81,41.58,16.11,90,1550751300
70,Pisco,PE,-13.71,30,71.6,3.36,0,1550750400
71,Mora,PT,38.94,86,60.02,11.65,56,1550752905
72,Alyangula,AU,-13.85,79,84.2,4.7,0,1550750400
73,Severo-Kurilsk,RU,50.68,100,21.19,10.2,44,1550752906
74,Cape Town,ZA,-33.93,51,80.6,23.04,0,1550750400
75,Avarua,CK,-21.21,88,77.0,2.24,92,1550750400
76,Chokurdakh,RU,70.62,45,-28.41,2.93,32,1550752907
77,Riyadh,SA,24.63,19,66.2,4.7,0,1550750400
78,Aberdeen,US,45.47,78,8.6,9.17,90,1550749980
79,Beringovskiy,RU,63.05,94,14.21,6.62,68,1550752908
80,Hualmay,PE,-11.1,83,70.06,3.49,0,1550752908
81,Airai,TL,-8.93,92,71.36,1.7,32,1550752908
82,Jeumont,BE,50.3,71,53.15,5.82,0,1550750100
83,Isangel,VU,-19.55,95,83.06,13.78,36,1550752909
84,Kwinana,AU,-32.25,77,69.24,10.29,90,1550750400
85,Lundazi,ZM,-12.29,100,76.09,4.72,24,1550752909
86,Trinidad,UY,-33.52,78,78.8,10.2,75,1550750400
87,Ponta do Sol,BR,-20.63,94,70.51,3.83,88,1550752910
88,Upernavik,GL,72.79,100,1.48,18.59,48,1550752910
89,Port Elizabeth,US,39.31,100,34.7,9.17,90,1550751480
90,Harbour Breton,CA,47.48,100,8.63,21.72,12,1550752911
91,Luancheng,CN,37.88,86,33.8,2.24,0,1550750400
92,Sitka,US,37.17,82,21.95,11.32,64,1550752911
93,Bonthe,SL,7.53,50,89.95,3.15,8,1550752911
94,Krasnoborsk,RU,61.56,66,19.39,9.64,68,1550752912
95,Saint-Francois,FR,46.42,54,55.4,2.24,0,1550750400
96,Kongolo,CD,-5.39,50,91.3,2.37,8,1550752912
97,Sao Felix do Xingu,BR,-6.64,96,76.0,2.71,88,1550752913
98,Igrim,RU,63.19,76,7.06,5.95,76,1550752913
99,Thompson,CA,55.74,69,-11.21,3.36,75,1550750400
100,Castro,CL,-42.48,93,46.4,3.36,75,1550750400
101,Yarensk,RU,62.17,74,20.6,8.63,88,1550752914
102,Karasjok,NO,69.47,66,10.4,24.16,0,1550749800
103,Sarkand,KZ,45.41,96,25.91,3.6,92,1550752914
104,San Nicolas,HN,14.94,84,61.46,1.92,0,1550752914
105,Faanui,PF,-16.48,100,82.25,16.13,92,1550752915
106,Siauliai,LT,55.93,58,30.2,6.93,0,1550749800
107,Mount Isa,AU,-20.73,22,84.2,5.82,0,1550750400
108,Cherskiy,RU,68.75,41,-26.83,2.15,32,1550752916
109,Ahuimanu,US,21.44,88,63.93,3.36,1,1550750220
110,Turgutlu,TR,38.5,58,59.45,3.36,40,1550749800
111,Saldanha,PT,41.42,64,58.85,5.17,12,1550752917
112,Wajid,SO,3.81,57,89.14,8.63,8,1550752917
113,Kavieng,PG,-2.57,94,85.0,13.78,32,1550752917
114,Kudal,IN,16.01,50,88.01,3.38,8,1550752918
115,Luderitz,NA,-26.65,84,73.7,13.0,0,1550752918
116,Xichang,CN,27.88,22,58.58,3.15,0,1550752918
117,Petropavlovsk-Kamchatskiy,RU,53.05,59,-0.41,6.71,0,1550750400
118,Weihai,CN,37.5,96,39.41,5.95,0,1550752919
119,Furmanov,RU,57.25,86,30.2,11.18,90,1550750400
120,Longyearbyen,NO,78.22,73,19.4,16.11,75,1550751600
121,Narsaq,GL,60.91,62,21.2,2.24,75,1550749800
122,Manacapuru,BR,-3.3,94,77.0,5.82,75,1550750400
123,Thunder Bay,CA,48.41,85,19.4,6.93,75,1550750400
124,Bud,NO,62.91,100,41.54,11.41,75,1550751600
125,Mogadishu,SO,2.04,70,86.0,17.22,20,1550750400
126,Lebu,ET,8.96,49,69.8,18.34,75,1550750400
127,Victoria,BN,5.28,83,81.61,6.93,75,1550750400
128,Hobart,AU,-42.88,58,59.0,10.29,40,1550750400
129,Alice Springs,AU,-23.7,14,82.4,6.93,0,1550750400
130,Qaanaaq,GL,77.48,75,-12.7,5.17,0,1550752929
131,Hua Hin,TH,12.57,99,83.74,13.44,0,1550752934
132,Kashiba,JP,34.54,49,46.4,16.11,75,1550750400
133,Camacha,PT,33.08,55,64.4,25.28,75,1550750400
134,Provideniya,RU,64.42,94,27.35,16.69,80,1550752935
135,Port Shepstone,ZA,-30.74,82,76.76,16.8,12,1550752935
136,Bronnoysund,NO,65.46,100,29.48,18.34,0,1550749800
137,Carmen,PH,7.2,41,87.02,2.59,48,1550752936
138,Kruisfontein,ZA,-34.0,76,71.18,7.4,80,1550752937
139,Dingle,PH,11.0,59,79.01,13.0,0,1550752937
140,Kytmanovo,RU,53.46,92,27.31,12.44,56,1550752937
141,Yellowknife,CA,62.45,83,-4.01,3.36,90,1550750400
142,Doboj,BA,44.73,50,56.32,3.36,0,1550750400
143,Panlaitan,PH,12.12,78,81.13,16.8,0,1550752938
144,Razole,IN,16.48,98,79.96,8.08,0,1550752938
145,Shelburne,CA,44.08,74,35.6,12.75,90,1550750400
146,Kupang,ID,-10.16,95,81.62,5.28,100,1550752938
147,Hovd,NO,63.83,89,32.94,11.41,90,1550751600
148,Kurilsk,RU,45.23,100,25.37,7.18,88,1550752942
149,Sao Filipe,CV,14.9,92,72.04,10.54,0,1550752946
150,Tabou,CI,4.42,96,83.33,10.42,92,1550752946
151,Chuy,UY,-33.69,76,80.63,12.77,0,1550752946
152,Srednekolymsk,RU,67.46,40,-26.2,2.37,44,1550752946
